geo_value,time_value,new_cases
al,2020-01-24,0
ar,2020-01-24,0
az,2020-01-24,0
ca,2020-01-24,0
co,2020-01-24,0
ct,2020-01-24,0
dc,2020-01-24,0
de,2020-01-24,0
fl,2020-01-24,0
ga,2020-01-24,0
hi,2020-01-24,0
ia,2020-01-24,0
id,2020-01-24,0
il,2020-01-24,1
in,2020-01-24,0
ks,2020-01-24,0
ky,2020-01-24,0
la,2020-01-24,0
ma,2020-01-24,0
md,2020-01-24,0
me,2020-01-24,0
mi,2020-01-24,0
mn,2020-01-24,0
mo,2020-01-24,0
ms,2020-01-24,0
mt,2020-01-24,0
nc,2020-01-24,0
nd,2020-01-24,0
ne,2020-01-24,0
nh,2020-01-24,0
nj,2020-01-24,0
nm,2020-01-24,0
nv,2020-01-24,0
ny,2020-01-24,0
oh,2020-01-24,0
ok,2020-01-24,0
or,2020-01-24,0
pa,2020-01-24,0
ri,2020-01-24,0
sc,2020-01-24,0
sd,2020-01-24,0
tn,2020-01-24,0
tx,2020-01-24,0
ut,2020-01-24,0
va,2020-01-24,0
vt,2020-01-24,0
wa,2020-01-24,0
wi,2020-01-24,0
wv,2020-01-24,0
wy,2020-01-24,0
ak,2020-01-25,0
al,2020-01-25,0
ar,2020-01-25,0
az,2020-01-25,0
ca,2020-01-25,0
co,2020-01-25,0
ct,2020-01-25,0
dc,2020-01-25,0
de,2020-01-25,0
fl,2020-01-25,0
ga,2020-01-25,0
hi,2020-01-25,0
ia,2020-01-25,0
id,2020-01-25,0
il,2020-01-25,0
in,2020-01-25,0
ks,2020-01-25,0
ky,2020-01-25,0
la,2020-01-25,0
ma,2020-01-25,0
md,2020-01-25,0
me,2020-01-25,0
mi,2020-01-25,0
mn,2020-01-25,0
mo,2020-01-25,0
ms,2020-01-25,0
mt,2020-01-25,0
nc,2020-01-25,0
nd,2020-01-25,0
ne,2020-01-25,0
nh,2020-01-25,0
nj,2020-01-25,0
nm,2020-01-25,0
nv,2020-01-25,0
ny,2020-01-25,0
oh,2020-01-25,0
ok,2020-01-25,0
or,2020-01-25,0
pa,2020-01-25,0
ri,2020-01-25,0
sc,2020-01-25,0
sd,2020-01-25,0
tn,2020-01-25,0
tx,2020-01-25,0
ut,2020-01-25,0
va,2020-01-25,0
vt,2020-01-25,0
wa,2020-01-25,0
wi,2020-01-25,0
wv,2020-01-25,0
wy,2020-01-25,0
ak,2020-01-26,0
al,2020-01-26,0
ar,2020-01-26,0
az,2020-01-26,1
ca,2020-01-26,2
co,2020-01-26,0
ct,2020-01-26,0
dc,2020-01-26,0
de,2020-01-26,0
fl,2020-01-26,0
ga,2020-01-26,0
hi,2020-01-26,0
ia,2020-01-26,0
id,2020-01-26,0
il,2020-01-26,0
in,2020-01-26,0
ks,2020-01-26,0
ky,2020-01-26,0
la,2020-01-26,0
ma,2020-01-26,0
md,2020-01-26,0
me,2020-01-26,0
mi,2020-01-26,0
mn,2020-01-26,0
mo,2020-01-26,0
ms,2020-01-26,0
mt,2020-01-26,0
nc,2020-01-26,0
nd,2020-01-26,0
ne,2020-01-26,0
nh,2020-01-26,0
nj,2020-01-26,0
nm,2020-01-26,0
nv,2020-01-26,0
ny,2020-01-26,0
oh,2020-01-26,0
ok,2020-01-26,0
or,2020-01-26,0
pa,2020-01-26,0
ri,2020-01-26,0
sc,2020-01-26,0
sd,2020-01-26,0
tn,2020-01-26,0
tx,2020-01-26,0
ut,2020-01-26,0
va,2020-01-26,0
vt,2020-01-26,0
wa,2020-01-26,0
wi,2020-01-26,0
wv,2020-01-26,0
wy,2020-01-26,0
ak,2020-01-27,0
al,2020-01-27,0
ar,2020-01-27,0
az,2020-01-27,0
ca,2020-01-27,0
co,2020-01-27,0
ct,2020-01-27,0
dc,2020-01-27,0
de,2020-01-27,0
fl,2020-01-27,0
ga,2020-01-27,0
hi,2020-01-27,0
ia,2020-01-27,0
id,2020-01-27,0
il,2020-01-27,0
in,2020-01-27,0
ks,2020-01-27,0
ky,2020-01-27,0
la,2020-01-27,0
ma,2020-01-27,0
md,2020-01-27,0
me,2020-01-27,0
mi,2020-01-27,0
mn,2020-01-27,0
mo,2020-01-27,0
ms,2020-01-27,0
mt,2020-01-27,0
nc,2020-01-27,0
nd,2020-01-27,0
ne,2020-01-27,0
nh,2020-01-27,0
nj,2020-01-27,0
nm,2020-01-27,0
nv,2020-01-27,0
ny,2020-01-27,0
oh,2020-01-27,0
ok,2020-01-27,0
or,2020-01-27,0
pa,2020-01-27,0
ri,2020-01-27,0
sc,2020-01-27,0
sd,2020-01-27,0
tn,2020-01-27,0
tx,2020-01-27,0
ut,2020-01-27,0
va,2020-01-27,0
vt,2020-01-27,0
wa,2020-01-27,0
wi,2020-01-27,0
wv,2020-01-27,0
wy,2020-01-27,0
ak,2020-01-28,0
al,2020-01-28,0
ar,2020-01-28,0
az,2020-01-28,0
ca,2020-01-28,0
co,2020-01-28,0
ct,2020-01-28,0
dc,2020-01-28,0
de,2020-01-28,0
fl,2020-01-28,0
ga,2020-01-28,0
hi,2020-01-28,0
ia,2020-01-28,0
id,2020-01-28,0
il,2020-01-28,0
in,2020-01-28,0
ks,2020-01-28,0
ky,2020-01-28,0
la,2020-01-28,0
ma,2020-01-28,0
md,2020-01-28,0
me,2020-01-28,0
mi,2020-01-28,0
mn,2020-01-28,0
mo,2020-01-28,0
ms,2020-01-28,0
mt,2020-01-28,0
nc,2020-01-28,0
nd,2020-01-28,0
ne,2020-01-28,0
nh,2020-01-28,0
nj,2020-01-28,0
nm,2020-01-28,0
nv,2020-01-28,0
ny,2020-01-28,0
oh,2020-01-28,0
ok,2020-01-28,0
or,2020-01-28,0
pa,2020-01-28,0
ri,2020-01-28,0
sc,2020-01-28,0
sd,2020-01-28,0
tn,2020-01-28,0
tx,2020-01-28,0
ut,2020-01-28,0
va,2020-01-28,0
vt,2020-01-28,0
wa,2020-01-28,0
wi,2020-01-28,0
wv,2020-01-28,0
wy,2020-01-28,0
ak,2020-01-29,0
al,2020-01-29,0
ar,2020-01-29,0
az,2020-01-29,0
ca,2020-01-29,0
co,2020-01-29,0
ct,2020-01-29,0
dc,2020-01-29,0
de,2020-01-29,0
fl,2020-01-29,0
ga,2020-01-29,0
hi,2020-01-29,0
ia,2020-01-29,0
id,2020-01-29,0
il,2020-01-29,0
in,2020-01-29,0
ks,2020-01-29,0
ky,2020-01-29,0
la,2020-01-29,0
ma,2020-01-29,0
md,2020-01-29,0
me,2020-01-29,0
mi,2020-01-29,0
mn,2020-01-29,0
mo,2020-01-29,0
ms,2020-01-29,0
mt,2020-01-29,0
nc,2020-01-29,0
nd,2020-01-29,0
ne,2020-01-29,0
nh,2020-01-29,0
nj,2020-01-29,0
nm,2020-01-29,0
nv,2020-01-29,0
ny,2020-01-29,0
oh,2020-01-29,0
ok,2020-01-29,0
or,2020-01-29,0
pa,2020-01-29,0
ri,2020-01-29,0
sc,2020-01-29,0
sd,2020-01-29,0
tn,2020-01-29,0
tx,2020-01-29,0
ut,2020-01-29,0
va,2020-01-29,0
vt,2020-01-29,0
wa,2020-01-29,0
wi,2020-01-29,0
wv,2020-01-29,0
wy,2020-01-29,0
ak,2020-01-30,0
al,2020-01-30,0
ar,2020-01-30,0
az,2020-01-30,0
ca,2020-01-30,0
co,2020-01-30,0
ct,2020-01-30,0
dc,2020-01-30,0
de,2020-01-30,0
fl,2020-01-30,0
ga,2020-01-30,0
hi,2020-01-30,0
ia,2020-01-30,0
id,2020-01-30,0
il,2020-01-30,0
in,2020-01-30,0
ks,2020-01-30,0
ky,2020-01-30,0
la,2020-01-30,0
ma,2020-01-30,0
md,2020-01-30,0
me,2020-01-30,0
mi,2020-01-30,0
mn,2020-01-30,0
mo,2020-01-30,0
ms,2020-01-30,0
mt,2020-01-30,0
nc,2020-01-30,0
nd,2020-01-30,0
ne,2020-01-30,0
nh,2020-01-30,0
nj,2020-01-30,0
nm,2020-01-30,0
nv,2020-01-30,0
ny,2020-01-30,0
oh,2020-01-30,0
ok,2020-01-30,0
or,2020-01-30,0
pa,2020-01-30,0
ri,2020-01-30,0
sc,2020-01-30,0
sd,2020-01-30,0
tn,2020-01-30,0
tx,2020-01-30,0
ut,2020-01-30,0
va,2020-01-30,0
vt,2020-01-30,0
wa,2020-01-30,0
wi,2020-01-30,0
wv,2020-01-30,0
wy,2020-01-30,0
ak,2020-01-31,0
al,2020-01-31,0
ar,2020-01-31,0
az,2020-01-31,0
ca,2020-01-31,1
co,2020-01-31,0
ct,2020-01-31,0
dc,2020-01-31,0
de,2020-01-31,0
fl,2020-01-31,0
ga,2020-01-31,0
hi,2020-01-31,0
ia,2020-01-31,0
id,2020-01-31,0
il,2020-01-31,1
in,2020-01-31,0
ks,2020-01-31,0
ky,2020-01-31,0
la,2020-01-31,0
ma,2020-01-31,0
md,2020-01-31,0
me,2020-01-31,0
mi,2020-01-31,0
mn,2020-01-31,0
mo,2020-01-31,0
ms,2020-01-31,0
mt,2020-01-31,0
nc,2020-01-31,0
nd,2020-01-31,0
ne,2020-01-31,0
nh,2020-01-31,0
nj,2020-01-31,0
nm,2020-01-31,0
nv,2020-01-31,0
ny,2020-01-31,0
oh,2020-01-31,0
ok,2020-01-31,0
or,2020-01-31,0
pa,2020-01-31,0
ri,2020-01-31,0
sc,2020-01-31,0
sd,2020-01-31,0
tn,2020-01-31,0
tx,2020-01-31,0
ut,2020-01-31,0
va,2020-01-31,0
vt,2020-01-31,0
wa,2020-01-31,0
wi,2020-01-31,0
wv,2020-01-31,0
wy,2020-01-31,0
ak,2020-02-01,0
al,2020-02-01,0
ar,2020-02-01,0
az,2020-02-01,0
ca,2020-02-01,0
co,2020-02-01,0
ct,2020-02-01,0
dc,2020-02-01,0
de,2020-02-01,0
fl,2020-02-01,0
ga,2020-02-01,0
hi,2020-02-01,0
ia,2020-02-01,0
id,2020-02-01,0
il,2020-02-01,0
in,2020-02-01,0
ks,2020-02-01,0
ky,2020-02-01,0
la,2020-02-01,0
ma,2020-02-01,1
md,2020-02-01,0
me,2020-02-01,0
mi,2020-02-01,0
mn,2020-02-01,0
mo,2020-02-01,0
ms,2020-02-01,0
mt,2020-02-01,0
nc,2020-02-01,0
nd,2020-02-01,0
ne,2020-02-01,0
nh,2020-02-01,0
nj,2020-02-01,0
nm,2020-02-01,0
nv,2020-02-01,0
ny,2020-02-01,0
oh,2020-02-01,0
ok,2020-02-01,0
or,2020-02-01,0
pa,2020-02-01,0
ri,2020-02-01,0
sc,2020-02-01,0
sd,2020-02-01,0
tn,2020-02-01,0
tx,2020-02-01,0
ut,2020-02-01,0
va,2020-02-01,0
vt,2020-02-01,0
wa,2020-02-01,0
wi,2020-02-01,0
wv,2020-02-01,0
wy,2020-02-01,0
ak,2020-02-02,0
al,2020-02-02,0
ar,2020-02-02,0
az,2020-02-02,0
ca,2020-02-02,0
co,2020-02-02,0
ct,2020-02-02,0
dc,2020-02-02,0
de,2020-02-02,0
fl,2020-02-02,0
ga,2020-02-02,0
hi,2020-02-02,0
ia,2020-02-02,0
id,2020-02-02,0
il,2020-02-02,0
in,2020-02-02,0
ks,2020-02-02,0
ky,2020-02-02,0
la,2020-02-02,0
ma,2020-02-02,0
md,2020-02-02,0
me,2020-02-02,0
mi,2020-02-02,0
mn,2020-02-02,0
mo,2020-02-02,0
ms,2020-02-02,0
mt,2020-02-02,0
nc,2020-02-02,0
nd,2020-02-02,0
ne,2020-02-02,0
nh,2020-02-02,0
nj,2020-02-02,0
nm,2020-02-02,0
nv,2020-02-02,0
ny,2020-02-02,0
oh,2020-02-02,0
ok,2020-02-02,0
or,2020-02-02,0
pa,2020-02-02,0
ri,2020-02-02,0
sc,2020-02-02,0
sd,2020-02-02,0
tn,2020-02-02,0
tx,2020-02-02,0
ut,2020-02-02,0
va,2020-02-02,0
vt,2020-02-02,0
wa,2020-02-02,0
wi,2020-02-02,0
wv,2020-02-02,0
wy,2020-02-02,0
ak,2020-02-03,0
al,2020-02-03,0
ar,2020-02-03,0
az,2020-02-03,0
ca,2020-02-03,3
co,2020-02-03,0
ct,2020-02-03,0
dc,2020-02-03,0
de,2020-02-03,0
fl,2020-02-03,0
ga,2020-02-03,0
hi,2020-02-03,0
ia,2020-02-03,0
id,2020-02-03,0
il,2020-02-03,0
in,2020-02-03,0
ks,2020-02-03,0
ky,2020-02-03,0
la,2020-02-03,0
ma,2020-02-03,0
md,2020-02-03,0
me,2020-02-03,0
mi,2020-02-03,0
mn,2020-02-03,0
mo,2020-02-03,0
ms,2020-02-03,0
mt,2020-02-03,0
nc,2020-02-03,0
nd,2020-02-03,0
ne,2020-02-03,0
nh,2020-02-03,0
nj,2020-02-03,0
nm,2020-02-03,0
nv,2020-02-03,0
ny,2020-02-03,0
oh,2020-02-03,0
ok,2020-02-03,0
or,2020-02-03,0
pa,2020-02-03,0
ri,2020-02-03,0
sc,2020-02-03,0
sd,2020-02-03,0
tn,2020-02-03,0
tx,2020-02-03,0
ut,2020-02-03,0
va,2020-02-03,0
vt,2020-02-03,0
wa,2020-02-03,0
wi,2020-02-03,0
wv,2020-02-03,0
wy,2020-02-03,0
ak,2020-02-04,0
al,2020-02-04,0
ar,2020-02-04,0
az,2020-02-04,0
ca,2020-02-04,0
co,2020-02-04,0
ct,2020-02-04,0
dc,2020-02-04,0
de,2020-02-04,0
fl,2020-02-04,0
ga,2020-02-04,0
hi,2020-02-04,0
ia,2020-02-04,0
id,2020-02-04,0
il,2020-02-04,0
in,2020-02-04,0
ks,2020-02-04,0
ky,2020-02-04,0
la,2020-02-04,0
ma,2020-02-04,0
md,2020-02-04,0
me,2020-02-04,0
mi,2020-02-04,0
mn,2020-02-04,0
mo,2020-02-04,0
ms,2020-02-04,0
mt,2020-02-04,0
nc,2020-02-04,0
nd,2020-02-04,0
ne,2020-02-04,0
nh,2020-02-04,0
nj,2020-02-04,0
nm,2020-02-04,0
nv,2020-02-04,0
ny,2020-02-04,0
oh,2020-02-04,0
ok,2020-02-04,0
or,2020-02-04,0
pa,2020-02-04,0
ri,2020-02-04,0
sc,2020-02-04,0
sd,2020-02-04,0
tn,2020-02-04,0
tx,2020-02-04,0
ut,2020-02-04,0
va,2020-02-04,0
vt,2020-02-04,0
wa,2020-02-04,0
wi,2020-02-04,0
wv,2020-02-04,0
wy,2020-02-04,0
ak,2020-02-05,0
al,2020-02-05,0
ar,2020-02-05,0
az,2020-02-05,0
ca,2020-02-05,0
co,2020-02-05,0
ct,2020-02-05,0
dc,2020-02-05,0
de,2020-02-05,0
fl,2020-02-05,0
ga,2020-02-05,0
hi,2020-02-05,0
ia,2020-02-05,0
id,2020-02-05,0
il,2020-02-05,0
in,2020-02-05,0
ks,2020-02-05,0
ky,2020-02-05,0
la,2020-02-05,0
ma,2020-02-05,0
md,2020-02-05,0
me,2020-02-05,0
mi,2020-02-05,0
mn,2020-02-05,0
mo,2020-02-05,0
ms,2020-02-05,0
mt,2020-02-05,0
nc,2020-02-05,0
nd,2020-02-05,0
ne,2020-02-05,0
nh,2020-02-05,0
nj,2020-02-05,0
nm,2020-02-05,0
nv,2020-02-05,0
ny,2020-02-05,0
oh,2020-02-05,0
ok,2020-02-05,0
or,2020-02-05,0
pa,2020-02-05,0
ri,2020-02-05,0
sc,2020-02-05,0
sd,2020-02-05,0
tn,2020-02-05,0
tx,2020-02-05,0
ut,2020-02-05,0
va,2020-02-05,0
vt,2020-02-05,0
wa,2020-02-05,0
wi,2020-02-05,0
wv,2020-02-05,0
wy,2020-02-05,0
ak,2020-02-06,0
al,2020-02-06,0
ar,2020-02-06,0
az,2020-02-06,0
ca,2020-02-06,0
co,2020-02-06,0
ct,2020-02-06,0
dc,2020-02-06,0
de,2020-02-06,0
fl,2020-02-06,0
ga,2020-02-06,0
hi,2020-02-06,0
ia,2020-02-06,0
id,2020-02-06,0
il,2020-02-06,0
in,2020-02-06,0
ks,2020-02-06,0
ky,2020-02-06,0
la,2020-02-06,0
ma,2020-02-06,0
md,2020-02-06,0
me,2020-02-06,0
mi,2020-02-06,0
mn,2020-02-06,0
mo,2020-02-06,0
ms,2020-02-06,0
mt,2020-02-06,0
nc,2020-02-06,0
nd,2020-02-06,0
ne,2020-02-06,0
nh,2020-02-06,0
nj,2020-02-06,0
nm,2020-02-06,0
nv,2020-02-06,0
ny,2020-02-06,0
oh,2020-02-06,0
ok,2020-02-06,0
or,2020-02-06,0
pa,2020-02-06,0
ri,2020-02-06,0
sc,2020-02-06,0
sd,2020-02-06,0
tn,2020-02-06,0
tx,2020-02-06,0
ut,2020-02-06,0
va,2020-02-06,0
vt,2020-02-06,0
wa,2020-02-06,0
wi,2020-02-06,0
wv,2020-02-06,0
wy,2020-02-06,0
ak,2020-02-07,0
al,2020-02-07,0
ar,2020-02-07,0
az,2020-02-07,0
ca,2020-02-07,0
co,2020-02-07,0
ct,2020-02-07,0
dc,2020-02-07,0
de,2020-02-07,0
fl,2020-02-07,0
ga,2020-02-07,0
hi,2020-02-07,0
ia,2020-02-07,0
id,2020-02-07,0
il,2020-02-07,0
in,2020-02-07,0
ks,2020-02-07,0
ky,2020-02-07,0
la,2020-02-07,0
ma,2020-02-07,0
md,2020-02-07,0
me,2020-02-07,0
mi,2020-02-07,0
mn,2020-02-07,0
mo,2020-02-07,0
ms,2020-02-07,0
mt,2020-02-07,0
nc,2020-02-07,0
nd,2020-02-07,0
ne,2020-02-07,0
nh,2020-02-07,0
nj,2020-02-07,0
nm,2020-02-07,0
nv,2020-02-07,0
ny,2020-02-07,0
oh,2020-02-07,0
ok,2020-02-07,0
or,2020-02-07,0
pa,2020-02-07,0
ri,2020-02-07,0
sc,2020-02-07,0
sd,2020-02-07,0
tn,2020-02-07,0
tx,2020-02-07,0
ut,2020-02-07,0
va,2020-02-07,0
vt,2020-02-07,0
wa,2020-02-07,0
wi,2020-02-07,0
wv,2020-02-07,0
wy,2020-02-07,0
ak,2020-02-08,0
al,2020-02-08,0
ar,2020-02-08,0
az,2020-02-08,0
ca,2020-02-08,0
co,2020-02-08,0
ct,2020-02-08,0
dc,2020-02-08,0
de,2020-02-08,0
fl,2020-02-08,0
ga,2020-02-08,0
hi,2020-02-08,0
ia,2020-02-08,0
id,2020-02-08,0
il,2020-02-08,0
in,2020-02-08,0
ks,2020-02-08,0
ky,2020-02-08,0
la,2020-02-08,0
ma,2020-02-08,0
md,2020-02-08,0
me,2020-02-08,0
mi,2020-02-08,0
mn,2020-02-08,0
mo,2020-02-08,0
ms,2020-02-08,0
mt,2020-02-08,0
nc,2020-02-08,0
nd,2020-02-08,0
ne,2020-02-08,0
nh,2020-02-08,0
nj,2020-02-08,0
nm,2020-02-08,0
nv,2020-02-08,0
ny,2020-02-08,0
oh,2020-02-08,0
ok,2020-02-08,0
or,2020-02-08,0
pa,2020-02-08,0
ri,2020-02-08,0
sc,2020-02-08,0
sd,2020-02-08,0
tn,2020-02-08,0
tx,2020-02-08,0
ut,2020-02-08,0
va,2020-02-08,0
vt,2020-02-08,0
wa,2020-02-08,0
wi,2020-02-08,0
wv,2020-02-08,0
wy,2020-02-08,0
ak,2020-02-09,0
al,2020-02-09,0
ar,2020-02-09,0
az,2020-02-09,0
ca,2020-02-09,0
co,2020-02-09,0
ct,2020-02-09,0
dc,2020-02-09,0
de,2020-02-09,0
fl,2020-02-09,0
ga,2020-02-09,0
hi,2020-02-09,0
ia,2020-02-09,0
id,2020-02-09,0
il,2020-02-09,0
in,2020-02-09,0
ks,2020-02-09,0
ky,2020-02-09,0
la,2020-02-09,0
ma,2020-02-09,0
md,2020-02-09,0
me,2020-02-09,0
mi,2020-02-09,0
mn,2020-02-09,0
mo,2020-02-09,0
ms,2020-02-09,0
mt,2020-02-09,0
nc,2020-02-09,0
nd,2020-02-09,0
ne,2020-02-09,0
nh,2020-02-09,0
nj,2020-02-09,0
nm,2020-02-09,0
nv,2020-02-09,0
ny,2020-02-09,0
oh,2020-02-09,0
ok,2020-02-09,0
or,2020-02-09,0
pa,2020-02-09,0
ri,2020-02-09,0
sc,2020-02-09,0
sd,2020-02-09,0
tn,2020-02-09,0
tx,2020-02-09,0
ut,2020-02-09,0
va,2020-02-09,0
vt,2020-02-09,0
wa,2020-02-09,0
wi,2020-02-09,0
wv,2020-02-09,0
wy,2020-02-09,0
ak,2020-02-10,0
al,2020-02-10,0
ar,2020-02-10,0
az,2020-02-10,0
ca,2020-02-10,0
co,2020-02-10,0
ct,2020-02-10,0
dc,2020-02-10,0
de,2020-02-10,0
fl,2020-02-10,0
ga,2020-02-10,0
hi,2020-02-10,0
ia,2020-02-10,0
id,2020-02-10,0
il,2020-02-10,0
in,2020-02-10,0
ks,2020-02-10,0
ky,2020-02-10,0
la,2020-02-10,0
ma,2020-02-10,0
md,2020-02-10,0
me,2020-02-10,0
mi,2020-02-10,0
mn,2020-02-10,0
mo,2020-02-10,0
ms,2020-02-10,0
mt,2020-02-10,0
nc,2020-02-10,0
nd,2020-02-10,0
ne,2020-02-10,0
nh,2020-02-10,0
nj,2020-02-10,0
nm,2020-02-10,0
nv,2020-02-10,0
ny,2020-02-10,0
oh,2020-02-10,0
ok,2020-02-10,0
or,2020-02-10,0
pa,2020-02-10,0
ri,2020-02-10,0
sc,2020-02-10,0
sd,2020-02-10,0
tn,2020-02-10,0
tx,2020-02-10,0
ut,2020-02-10,0
va,2020-02-10,0
vt,2020-02-10,0
wa,2020-02-10,0
wi,2020-02-10,0
wv,2020-02-10,0
wy,2020-02-10,0
ak,2020-02-11,0
al,2020-02-11,0
ar,2020-02-11,0
az,2020-02-11,0
ca,2020-02-11,1
co,2020-02-11,0
ct,2020-02-11,0
dc,2020-02-11,0
de,2020-02-11,0
fl,2020-02-11,0
ga,2020-02-11,0
hi,2020-02-11,0
ia,2020-02-11,0
id,2020-02-11,0
il,2020-02-11,0
in,2020-02-11,0
ks,2020-02-11,0
ky,2020-02-11,0
la,2020-02-11,0
ma,2020-02-11,0
md,2020-02-11,0
me,2020-02-11,0
mi,2020-02-11,0
mn,2020-02-11,0
mo,2020-02-11,0
ms,2020-02-11,0
mt,2020-02-11,0
nc,2020-02-11,0
nd,2020-02-11,0
ne,2020-02-11,0
nh,2020-02-11,0
nj,2020-02-11,0
nm,2020-02-11,0
nv,2020-02-11,0
ny,2020-02-11,0
oh,2020-02-11,0
ok,2020-02-11,0
or,2020-02-11,0
pa,2020-02-11,0
ri,2020-02-11,0
sc,2020-02-11,0
sd,2020-02-11,0
tn,2020-02-11,0
tx,2020-02-11,0
ut,2020-02-11,0
va,2020-02-11,0
vt,2020-02-11,0
wa,2020-02-11,0
wi,2020-02-11,0
wv,2020-02-11,0
wy,2020-02-11,0
ak,2020-02-12,0
al,2020-02-12,0
ar,2020-02-12,0
az,2020-02-12,0
ca,2020-02-12,0
co,2020-02-12,0
ct,2020-02-12,0
dc,2020-02-12,0
de,2020-02-12,0
fl,2020-02-12,0
ga,2020-02-12,0
hi,2020-02-12,0
ia,2020-02-12,0
id,2020-02-12,0
il,2020-02-12,0
in,2020-02-12,0
ks,2020-02-12,0
ky,2020-02-12,0
la,2020-02-12,0
ma,2020-02-12,0
md,2020-02-12,0
me,2020-02-12,0
mi,2020-02-12,0
mn,2020-02-12,0
mo,2020-02-12,0
ms,2020-02-12,0
mt,2020-02-12,0
nc,2020-02-12,0
nd,2020-02-12,0
ne,2020-02-12,0
nh,2020-02-12,0
nj,2020-02-12,0
nm,2020-02-12,0
nv,2020-02-12,0
ny,2020-02-12,0
oh,2020-02-12,0
ok,2020-02-12,0
or,2020-02-12,0
pa,2020-02-12,0
ri,2020-02-12,0
sc,2020-02-12,0
sd,2020-02-12,0
tn,2020-02-12,0
tx,2020-02-12,0
ut,2020-02-12,0
va,2020-02-12,0
vt,2020-02-12,0
wa,2020-02-12,0
wi,2020-02-12,0
wv,2020-02-12,0
wy,2020-02-12,0
ak,2020-02-13,0
al,2020-02-13,0
ar,2020-02-13,0
az,2020-02-13,0
ca,2020-02-13,1
co,2020-02-13,0
ct,2020-02-13,0
dc,2020-02-13,0
de,2020-02-13,0
fl,2020-02-13,0
ga,2020-02-13,0
hi,2020-02-13,0
ia,2020-02-13,0
id,2020-02-13,0
il,2020-02-13,0
in,2020-02-13,0
ks,2020-02-13,0
ky,2020-02-13,0
la,2020-02-13,0
ma,2020-02-13,0
md,2020-02-13,0
me,2020-02-13,0
mi,2020-02-13,0
mn,2020-02-13,0
mo,2020-02-13,0
ms,2020-02-13,0
mt,2020-02-13,0
nc,2020-02-13,0
nd,2020-02-13,0
ne,2020-02-13,0
nh,2020-02-13,0
nj,2020-02-13,0
nm,2020-02-13,0
nv,2020-02-13,0
ny,2020-02-13,0
oh,2020-02-13,0
ok,2020-02-13,0
or,2020-02-13,0
pa,2020-02-13,0
ri,2020-02-13,0
sc,2020-02-13,0
sd,2020-02-13,0
tn,2020-02-13,0
tx,2020-02-13,0
ut,2020-02-13,0
va,2020-02-13,0
vt,2020-02-13,0
wa,2020-02-13,0
wi,2020-02-13,0
wv,2020-02-13,0
wy,2020-02-13,0
ak,2020-02-14,0
al,2020-02-14,0
ar,2020-02-14,0
az,2020-02-14,0
ca,2020-02-14,0
co,2020-02-14,0
ct,2020-02-14,0
dc,2020-02-14,0
de,2020-02-14,0
fl,2020-02-14,0
ga,2020-02-14,0
hi,2020-02-14,0
ia,2020-02-14,0
id,2020-02-14,0
